Processing data.... please wait
=== Timestamp Processor ===

Average Time Difference: 4.65 ms
Sampling Rate: 215 Hz

=== Summary of Samples per Second ===
Second	Sample Count
1	224
2	215
3	218
4	215
5	246
6	223
7	251
8	250
9	259
10	247
11	262
12	259
13	247
14	256
15	251
16	247
17	240
18	227
19	211
20	201
21	242
22	212
23	244
24	242
25	225
26	220
27	208
28	213
29	214
30	236
31	240
32	233
33	237
34	242
35	235
36	226
37	203
38	144
39	220
40	226
41	235
42	234
43	224
44	224
45	226
46	228
47	226
48	232
49	227
50	225
51	228
52	234
53	228
54	231
55	226
56	220
57	218
58	204
59	173
60	189
61	215
62	187
63	189
64	174
65	205
66	210
67	205
68	191
69	204
70	196
71	185
72	216
73	208
74	226
75	201
76	198
77	206
78	203
79	244
80	212
81	237
82	219
83	201
84	189
85	228
86	218
87	216
88	207
89	192
90	193
91	190
92	202
93	195
94	207
95	201
96	206
97	201
98	180
99	205
100	207
101	196
102	196
103	193
104	193
105	198
106	187
107	185
108	214
109	207
110	184
111	212
112	205
113	180
114	199
115	201
116	153

Average Sampling Rate: 214.78 samples/second
Standard Deviation of Sampling Rate: 22.04 samples/second

Analysis Complete.
